supp_cd,mgfname,itpack_cd,itempackname,it_cd,itemname,pack_cd,packages,pkg_unit,no_pkg,short_cd,is_0_mrp,mrp_order,ipmrp_cd,mrp_item,mrp,sal_gr_rt,off_onmrp,sal_remark,it_und_gp
"PT","HITENDRA ENTERPRISES","PT003AL","PT.DRYFRUIT KACHORI-500g","PT003","PT.DRYFRUIT KACHORI","AL","500GM","GM",500.00,"KC4",F,1,"PT003ALA","PT.DRYFRUIT KACHORI-500g @210.00",210.00,146.4900,0.00,"",""
"PT","HITENDRA ENTERPRISES","PT004AJ","PT.GARLIC KACHORI-250g","PT004","PT.GARLIC KACHORI","AJ","250GM","GM",250.00,"KC5",F,1,"PT004AJA","PT.GARLIC KACHORI-250g @90.00",90.00,62.7800,0.00,"",""
"PT","HITENDRA ENTERPRISES","PT004AL","PT.GARLIC KACHORI-500g","PT004","PT.GARLIC KACHORI","AL","500GM","GM",500.00,"KC6",F,1,"PT004ALA","PT.GARLIC KACHORI-500g @170.00",170.00,118.5800,0.00,"",""
"PT","HITENDRA ENTERPRISES","PT005AJ","PT.METHI KACHORI-250g","PT005","PT.METHI KACHORI","AJ","250GM","GM",250.00,"KC7",F,1,"PT005AJA","PT.METHI KACHORI-250g @90.00",90.00,62.7800,0.00,"",""
"PT","HITENDRA ENTERPRISES","PT005AL","PT.METHI KACHORI-500g","PT005","PT.METHI KACHORI","AL","500GM","GM",500.00,"PT",F,1,"PT005ALA","PT.METHI KACHORI-500g @170.00",170.00,118.5800,0.00,"",""
"SNP","DUVAL ENTERPRISES","SNP01EH","SN.CARDAMOM POWDER-45g","SNP01","SN.CARDAMOM POWDER","EH","45g","",0.000,"CAD",F,2,"SNP01EHD","SN.CARDAMOM POWDER-45g @249.00",249.00,177.8600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB004EE","S.MF.JAM-15g","SB004","S.MF.JAM","EE","15g","",0.000,"514",F,1,"SB004EEA","S.MF.JAM-15g @2.00",2.00,1.4300,0.00,"",""
"SRB","NINA SALES CORPORATION","SRB44PD","SB.VEG.Mayonnaise-85g","SRB44","SB.VEG.Mayonnaise","PD","85g","",0.000,"SRB",F,1,"SRB44PDA","SB.VEG.Mayonnaise-85g @30.00",30.00,20.5400,0.00,"",""
"HD","HALDIRAM FOODS INT.L","HD078AJ","H.DRY FRUIT LADDU-250g","HD078","H.DRY FRUIT LADDU","AJ","250GM","GM",250.00,"DFL",F,1,"HD078AJB","H.DRY FRUIT LADDU-250g @150.00",150.00,129.8700,0.00,"",""
"VN","BHAYANI DISTRIBUTORE","VNO01FC","VANDEVI POWDER-50g*10pc","VNO01","VANDEVI POWDER","FC","50g*10pc","",0.000,"303",F,1,"VNO01FCC","VANDEVI POWDER-50g*10pc @650.00",650.00,252.3900,0.00,"",""
